Borghetto d'Arroscia comune,Borghetto d'Arroscia comune.1
,
Borghetto d'Arroscia – VedutaPanorama di Borghetto,Borghetto d'Arroscia – VedutaPanorama di Borghetto
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Angela Denegri (lista civica Uniti per Borghetto) dal 4-10-2021
Data di istituzione,1861 Dato Istat - Popolazione residente al 31 marzo 2024 (dato provvisorio).
Territorio,Territorio
Coordinate,44°03′26.57″N 7°58′54.31″E
Altitudine,155 m s.l.m.
Superficie,"25,94 km²"
Abitanti,388[1] (30-11-2025)
Densità,"14,96 ab./km²"
Frazioni,"Gavenola, Gazzo, Leverone, Montecalvo, Ubaga, Ubaghetta"
Comuni confinanti,"Aquila d'Arroscia, Caprauna (CN), Casanova Lerrone (SV), Pieve di Teco, Ranzo, Vessalico"
Altre informazioni,Altre informazioni
Cod. postale,18020
Prefisso,0183
Fuso orario,UTC+1
Codice ISTAT,008009
Cod. catastale,A993
Targa,IM
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 153 GG[3]"
Nome abitanti,borghettini
Patrono,san Marco Evangelista
Giorno festivo,25 aprile
Cartografia,Cartografia
Borghetto d'Arroscia,Borghetto d'Arroscia
Borghetto d'Arroscia – MappaPosizione del comune di Borghetto d'Arroscia nella provincia di Imperia,Borghetto d'Arroscia – MappaPosizione del comune di Borghetto d'Arroscia nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
