Vessalico comune,Vessalico comune.1
,
Vessalico – VedutaPanorama di Vessalico,Vessalico – VedutaPanorama di Vessalico
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Flavio Manfredi (lista civica Per Vessalico insieme) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°02′46.74″N 7°57′43.43″E
Altitudine,197 m s.l.m.
Superficie,"10,46 km²"
Abitanti,278[1] (30-11-2025)
Densità,"26,58 ab./km²"
Frazioni,"Lenzari, Perinetti, Siglioli"
Comuni confinanti,"Borghetto d'Arroscia, Casanova Lerrone (SV), Cesio, Pieve di Teco"
Altre informazioni,Altre informazioni
Cod. postale,18026
Prefisso,0183
Fuso orario,UTC+1
Codice ISTAT,008066
Cod. catastale,L809
Targa,IM
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 220 GG[3]"
Nome abitanti,vessalcesi
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Vessalico,Vessalico
Vessalico – MappaPosizione del comune di Vessalico nella provincia di Imperia,Vessalico – MappaPosizione del comune di Vessalico nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
