Badalucco comune,Badalucco comune.1
,
Badalucco – VedutaPanorama di Badalucco,Badalucco – VedutaPanorama di Badalucco
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,"Matteo Orengo (lista civica di centro-destra ""ValorizziAmo Badalucco"") dal 27-5-2019 (2º mandato dal 10-6-2024)"
Data di istituzione,1861
Territorio,Territorio
Coordinate,43°54′56.51″N 7°50′49.19″E
Altitudine,179 m s.l.m.
Superficie,"16,1 km²"
Abitanti,1 065[1] (30-11-2025)
Densità,"66,15 ab./km²"
Frazioni,"Argallo, Ciabaudo, Zerni, Vignai"
Comuni confinanti,"Bajardo, Ceriana, Dolcedo, Molini di Triora, Montalto Carpasio, Taggia"
Altre informazioni,Altre informazioni
Cod. postale,18010
Prefisso,0184
Fuso orario,UTC+1
Codice ISTAT,008006
Cod. catastale,A536
Targa,IM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 543 GG[3]"
Nome abitanti,"badalucchesi (nel dialetto ligure locale ""bāücögni"")"
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Badalucco,Badalucco
Badalucco – MappaPosizione del comune di Badalucco nella provincia di Imperia,Badalucco – MappaPosizione del comune di Badalucco nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
