Borgomaro comune,Borgomaro comune.1
,
Borgomaro – VedutaPanorama di Borgomaro,Borgomaro – VedutaPanorama di Borgomaro
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Massimiliano Mela (lista civica Uniti per migliorare) dal 6-6-2016 (2º mandato dal 4-10-2021)
Data di istituzione,1861
Territorio,Territorio
Coordinate,43°58′31.89″N 7°56′41.29″E
Altitudine,249 m s.l.m.
Superficie,"23,44 km²"
Abitanti,823[1] (30-11-2025)
Densità,"35,11 ab./km²"
Frazioni,"Candeasco, Conio, Maro Castello, San Bernardo di Conio, San Lazzaro Reale, Ville San Pietro, Ville San Sebastiano"
Comuni confinanti,"Aurigo, Caravonica, Montalto Carpasio, Chiusanico, Lucinasco, Pieve di Teco, Prelà, Rezzo, Vasia"
Altre informazioni,Altre informazioni
Cod. postale,18021
Prefisso,0183
Fuso orario,UTC+1
Codice ISTAT,008010
Cod. catastale,B020
Targa,IM
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 717 GG[3]"
Nome abitanti,borgomaresi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Borgomaro,Borgomaro
Borgomaro – MappaPosizione del comune di Borgomaro nella provincia di Imperia,Borgomaro – MappaPosizione del comune di Borgomaro nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
