Pieve di Teco comune,Pieve di Teco comune.1
,
Pieve di Teco – VedutaPanorama di Pieve di Teco,Pieve di Teco – VedutaPanorama di Pieve di Teco
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Enrico Pira (lista civica Prima Pieve di Teco) dal 15-5-2023
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°02′52.8″N 7°54′57.6″E
Altitudine,240 m s.l.m.
Superficie,"40,51 km²"
Abitanti,1 333[1] (30-11-2025)
Densità,"32,91 ab./km²"
Frazioni,"Acquetico, Calderara, Lovegno, Moano, Muzio, Nirasca, Saponiera, Trovasta"
Comuni confinanti,"Armo, Aurigo, Borghetto d'Arroscia, Borgomaro, Caprauna (CN), Caravonica, Cesio, Pornassio, Rezzo, Vessalico"
Altre informazioni,Altre informazioni
Cod. postale,18026
Prefisso,0183
Fuso orario,UTC+1
Codice ISTAT,008042
Cod. catastale,G632
Targa,IM
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 290 GG[3]"
Nome abitanti,pievesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Pieve di Teco,Pieve di Teco
Pieve di Teco – MappaPosizione del comune di Pieve di Teco nella provincia di Imperia,Pieve di Teco – MappaPosizione del comune di Pieve di Teco nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
