Mendatica comune,Mendatica comune.1
,
Mendatica – VedutaPanorama di Mendatica,Mendatica – VedutaPanorama di Mendatica
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Graziano Floccia (lista civica Insieme per Mendatica) dal 10-06-2024
Data di istituzione,1950
Territorio,Territorio
Coordinate,44°04′34.86″N 7°48′20.49″E
Altitudine,760 m s.l.m.
Superficie,"30,69 km²"
Abitanti,162[1] (30-11-2025)
Densità,"5,28 ab./km²"
Frazioni,"Cian Prai, Le Salse, Monesi, San Bernardo, Secae, Valcona Soprana, Valcona Sottana"
Comuni confinanti,"Briga Alta (CN), Cosio di Arroscia, Montegrosso Pian Latte, Triora"
Altre informazioni,Altre informazioni
Cod. postale,18025
Prefisso,0183
Fuso orario,UTC+1
Codice ISTAT,008034
Cod. catastale,F123
Targa,IM
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 235 GG[3]"
Nome abitanti,mendaticesi o mendaighini
Patrono,santi Nazario e Celso
Giorno festivo,28 luglio
Cartografia,Cartografia
Mendatica,Mendatica
Mendatica – MappaPosizione del comune di Mendatica nella provincia di Imperia,Mendatica – MappaPosizione del comune di Mendatica nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
