Aurigo comune,Aurigo comune.1
,
Aurigo – VedutaPanorama di Aurigo,Aurigo – VedutaPanorama di Aurigo
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Angelo Arrigo (lista civica Aurigo riparte) dal 15-5-2023
Data di istituzione,1954
Territorio,Territorio
Coordinate,43°58′58.14″N 7°55′22.19″E
Altitudine,431 m s.l.m.
Superficie,"9,14 km²"
Abitanti,337[1] (30-11-2025)
Densità,"36,87 ab./km²"
Frazioni,"Guardiabella, Poggialto"
Comuni confinanti,"Borgomaro, Pieve di Teco, Rezzo"
Altre informazioni,Altre informazioni
Cod. postale,18020
Prefisso,0183
Fuso orario,UTC+1
Codice ISTAT,008005
Cod. catastale,A499
Targa,IM
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 170 GG[3]"
Nome abitanti,aurighesi
Patrono,san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Aurigo,Aurigo
Aurigo – MappaPosizione del comune di Aurigo nella provincia di Imperia,Aurigo – MappaPosizione del comune di Aurigo nella provincia di Imperia
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
