Castellaro comune,Castellaro comune.1
,
Castellaro – VedutaPanorama di Castellaro,Castellaro – VedutaPanorama di Castellaro
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Giuseppe Galatà (lista civica Castellaro insieme) dal 26-5-2014 (3º mandato dal 10-6-2024)
Data di istituzione,1925
Territorio,Territorio
Coordinate,43°51′52.62″N 7°52′06.22″E
Altitudine,275 m s.l.m.
Superficie,"7,86 km²"
Abitanti,1 212[1] (30-11-2025)
Densità,"154,2 ab./km²"
Comuni confinanti,"Pietrabruna, Pompeiana, Riva Ligure, Taggia"
Altre informazioni,Altre informazioni
Cod. postale,18011
Prefisso,0184
Fuso orario,UTC+1
Codice ISTAT,008014
Cod. catastale,C143
Targa,IM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 782 GG[3]"
Nome abitanti,castellaresi
Patrono,san Pietro in Vincoli
Giorno festivo,1º agosto
Cartografia,Cartografia
Castellaro,Castellaro
Castellaro – MappaPosizione del comune di Castellaro nella provincia di Imperia,Castellaro – MappaPosizione del comune di Castellaro nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
