Pigna comune,Pigna comune.1
,
Pigna – VedutaPanorama di Pigna,Pigna – VedutaPanorama di Pigna
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Roberto Trutalli (lista civica Per Pigna e Buggio) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,43°55′57.14″N 7°39′49.5″E
Altitudine,280 m s.l.m.
Superficie,"53,23 km²"
Abitanti,749[1] (30-11-2025)
Densità,"14,07 ab./km²"
Frazioni,Buggio
Comuni confinanti,"Apricale, Castel Vittorio, Isolabona, Rocchetta Nervina, Saorgio (FR-06), Triora"
Altre informazioni,Altre informazioni
Cod. postale,18037
Prefisso,0184
Fuso orario,UTC+1
Codice ISTAT,008043
Cod. catastale,G660
Targa,IM
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 860 GG[3]"
Nome abitanti,pignaschi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Pigna,Pigna
Pigna – MappaPosizione del comune di Pigna nella provincia di Imperia,Pigna – MappaPosizione del comune di Pigna nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
