Castel Vittorio comune,Castel Vittorio comune.1
,
Castel Vittorio – VedutaPanorama di Castel Vittorio,Castel Vittorio – VedutaPanorama di Castel Vittorio
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Gian Stefano Oddera (lista civica Uniti per Castel Vittorio) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,43°55′40.28″N 7°40′27.35″E
Altitudine,420 m s.l.m.
Superficie,"25,93 km²"
Abitanti,239[1] (30-11-2025)
Densità,"9,22 ab./km²"
Comuni confinanti,"Apricale, Bajardo, Isolabona, Molini di Triora, Pigna, Triora"
Altre informazioni,Altre informazioni
Cod. postale,18030
Prefisso,0184
Fuso orario,UTC+1
Codice ISTAT,008015
Cod. catastale,C110
Targa,IM
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 143 GG[3]"
Nome abitanti,castellesi
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Castel Vittorio,Castel Vittorio
Castel Vittorio – MappaPosizione del comune di Castel Vittorio nella provincia di Imperia,Castel Vittorio – MappaPosizione del comune di Castel Vittorio nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
