Costarainera comune,Costarainera comune.1
,
Costarainera – VedutaPanorama di Costarainera,Costarainera – VedutaPanorama di Costarainera
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Pietro Mareri (lista civica Per Costarainera) dal 4-10-2021
Data di istituzione,1954 Dato Istat - Popolazione residente al 30 aprile 2024 (dato provvisorio).
Territorio,Territorio
Coordinate,43°51′16.47″N 7°56′26.74″E
Altitudine,220 m s.l.m.
Superficie,"2,52 km²"
Abitanti,769[1] (30-11-2025)
Densità,"305,16 ab./km²"
Frazioni,Piani
Comuni confinanti,"Cipressa, San Lorenzo al Mare"
Altre informazioni,Altre informazioni
Cod. postale,18017
Prefisso,0183
Fuso orario,UTC+1
Codice ISTAT,008024
Cod. catastale,D114
Targa,IM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 645 GG[3]"
Nome abitanti,costenghi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Costarainera,Costarainera
Costarainera – MappaPosizione del comune di Costarainera nella provincia di Imperia,Costarainera – MappaPosizione del comune di Costarainera nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
