Molini di Triora comune,Molini di Triora comune.1
(dettagli)  (dettagli),(dettagli)  (dettagli)
Molini di Triora – VedutaIl paese visto da Triora,Molini di Triora – VedutaIl paese visto da Triora
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Manuela Sasso (lista civica Viva Molini) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1903
Territorio,Territorio
Coordinate,43°59′25.13″N 7°46′28.71″E
Altitudine,460 m s.l.m.
Superficie,"58,05 km²"
Abitanti,586[1] (30-11-2025)
Densità,"10,09 ab./km²"
Frazioni,"Agaggio Inferiore, Agaggio Superiore, Aigovo, Andagna, Corte, Gavano, Glori, Grattino, Perallo"
Comuni confinanti,"Badalucco, Bajardo, Castel Vittorio, Montalto Carpasio, Montegrosso Pian Latte, Rezzo, Triora"
Altre informazioni,Altre informazioni
Cod. postale,18010
Prefisso,0184
Fuso orario,UTC+1
Codice ISTAT,008035
Cod. catastale,F290
Targa,IM
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 242 GG[3]"
Nome abitanti,molinesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Molini di Triora,Molini di Triora
Molini di Triora – MappaPosizione del comune di Molini di Triora nella provincia di Imperia,Molini di Triora – MappaPosizione del comune di Molini di Triora nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
