Diano San Pietro comune,Diano San Pietro comune.1
,
Diano San Pietro – VedutaIl palazzo comunale,Diano San Pietro – VedutaIl palazzo comunale
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Claudio Mucilli (lista civica Impegno per Diano San Pietro) dal 26-5-2014 (3º mandato dal 10-6-2024)
Data di istituzione,1925 Dato Istat - Popolazione residente al 31 maggio 2024 (dato provvisorio).
Territorio,Territorio
Coordinate,43°55′51.42″N 8°04′07.29″E
Altitudine,83 m s.l.m.
Superficie,"11,91 km²"
Abitanti,1 105[1] (30-11-2025)
Densità,"92,78 ab./km²"
Frazioni,"Borganzo, Roncagli"
Comuni confinanti,"Diano Arentino, Diano Castello, San Bartolomeo al Mare, Stellanello (SV), Villa Faraldi"
Altre informazioni,Altre informazioni
Cod. postale,18013
Prefisso,0183
Fuso orario,UTC+1
Codice ISTAT,008028
Cod. catastale,D298
Targa,IM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 382 GG[3]"
Nome abitanti,sampietresi
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Diano San Pietro,Diano San Pietro
Diano San Pietro – MappaPosizione del comune di Diano San Pietro nella provincia di Imperia,Diano San Pietro – MappaPosizione del comune di Diano San Pietro nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
