Bordighera comune,Bordighera comune.1
,
Bordighera – VedutaPanorama di Bordighera,Bordighera – VedutaPanorama di Bordighera
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Rosa Abussi (commissario prefettizio) dal 22-12-2025
Data di istituzione,1861
Territorio,Territorio
Coordinate,43°46′44.03″N 7°40′19.66″E
Altitudine,5 m s.l.m.
Superficie,"10,65 km²"
Abitanti,10 345[1] (30-11-2025)
Densità,"971,36 ab./km²"
Frazioni,"Borghetto San Nicolò, Sasso"
Comuni confinanti,"Ospedaletti, Vallebona, Vallecrosia"
Altre informazioni,Altre informazioni
Cod. postale,18012
Prefisso,0184
Fuso orario,UTC+1
Codice ISTAT,008008
Cod. catastale,A984
Targa,IM
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 057 GG[3]"
Nome abitanti,bordigotti
Patrono,sant'Ampelio
Giorno festivo,14 maggio
Cartografia,Cartografia
Bordighera,Bordighera
Bordighera – MappaPosizione del comune di Bordighera nella provincia di Imperia,Bordighera – MappaPosizione del comune di Bordighera nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
