Provincia di Imperia provincia,Provincia di Imperia provincia.1
,
Provincia di Imperia – Veduta,Provincia di Imperia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Amministrazione,Amministrazione
Capoluogo,Imperia[1]
Presidente,Claudio Scajola (indipendente di centro-destra) dal 19-12-2021
Data di istituzione,1860 come Provincia di Porto Maurizio
Territorio,Territorio
Coordinate del capoluogo,43°53′11.28″N 8°01′46.75″E
Superficie,"1 154,78 km²"
Abitanti,209 806[2] (31-10-2025)
Densità,"181,68 ab./km²"
Comuni,66 comuni
Province confinanti,"Cuneo, Savona, Alpi Marittime (Francia)"
Altre informazioni,Altre informazioni
Cod. postale,"18100, 18010-18039"
Prefisso,"0183, 0184"
Fuso orario,UTC+1
ISO 3166-2,IT-IM
Codice ISTAT,008
Targa,IM
Cartografia,Cartografia
Provincia di Imperia – Localizzazione,Provincia di Imperia – Localizzazione
Provincia di Imperia – MappaPosizione della provincia di Imperia all'interno della Liguria.,Provincia di Imperia – MappaPosizione della provincia di Imperia all'interno della Liguria.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
