Triora comune,Triora comune.1
,
Triora – VedutaPanorama di Triora,Triora – VedutaPanorama di Triora
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Massimo Di Fazio (lista civica Triora viva) dal 10-6-2018 (2º mandato dal 15-5-2023)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°00′N 7°46′E
Altitudine,780 (max. 2 201m) m s.l.m.
Superficie,"67,61 km²"
Abitanti,414[1] (30-11-2025)
Densità,"6,12 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Briga Alta (CN), Castel Vittorio, Briga Marittima (FR-06), Mendatica, Molini di Triora, Montegrosso Pian Latte, Pigna, Saorgio (FR-06)"
Altre informazioni,Altre informazioni
Cod. postale,18010
Prefisso,0184
Fuso orario,UTC+1
Codice ISTAT,008061
Cod. catastale,L430
Targa,IM
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 039 GG[3]"
Nome abitanti,trioraschi
Patrono,Nostra Signora Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Triora,Triora
Triora – MappaPosizione del comune di Triora nella provincia di Imperia,Triora – MappaPosizione del comune di Triora nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
