Riofreddo comune,Riofreddo comune.1
,
Riofreddo – VedutaVista del paese,Riofreddo – VedutaVista del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Giancarlo Palma (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,42°03′31.5″N 12°59′47.8″E
Altitudine,750 m s.l.m.
Superficie,"12,38 km²"
Abitanti,752[1] (30-11-2025)
Densità,"60,74 ab./km²"
Comuni confinanti,"Arsoli, Cineto Romano, Oricola (AQ), Roviano, Vallinfreda"
Altre informazioni,Altre informazioni
Cod. postale,00020
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058083
Cod. catastale,H300
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 761 GG[3]"
Nome abitanti,Riofreddani
Patrono,"San Giorgio, Madonna dei Fiorentini"
Giorno festivo,"23 aprile, 24 aprile"
Cartografia,Cartografia
Riofreddo,Riofreddo
Riofreddo – MappaPosizione del comune di Riofreddo nella città metropolitana di Roma Capitale,Riofreddo – MappaPosizione del comune di Riofreddo nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
