Castel Madama comune,Castel Madama comune.1
,
Castel Madama – Veduta,Castel Madama – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Michele Nonni (lista civica Tutta Un'Altra Storia) dal 3-10-2021
Territorio,Territorio
Coordinate,41°58′29″N 12°52′02″E
Altitudine,428 m s.l.m.
Superficie,"28,8 km²"
Abitanti,7 019[1] (30-11-2025)
Densità,"243,72 ab./km²"
Frazioni,"Colle Passero, Monitola, La Valle, Valle Caprara, Villaggio ACEA"
Comuni confinanti,"Ciciliano, Sambuci, San Gregorio da Sassola, San Polo dei Cavalieri, Tivoli, Vicovaro"
Altre informazioni,Altre informazioni
Cod. postale,00024
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058023
Cod. catastale,C203
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 104 GG[3]"
Nome abitanti,castellani
Patrono,san Michele Arcangelo
Giorno festivo,9 maggio
Cartografia,Cartografia
Castel Madama,Castel Madama
Castel Madama – MappaPosizione del comune di Castel Madama nella città metropolitana di Roma Capitale,Castel Madama – MappaPosizione del comune di Castel Madama nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
