Sacrofano comune,Sacrofano comune.1
,
Sacrofano – Veduta,Sacrofano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Patrizia Nicolini (lista civica Uniti per Sacrofano) dal 10-6-2018
Territorio,Territorio
Coordinate,42°06′N 12°27′E
Altitudine,260 m s.l.m.
Superficie,"28,43 km²"
Abitanti,7 509[1] (30-11-2025)
Densità,"264,12 ab./km²"
Frazioni,"Borgo Pineto, Guado Tufo, Monte Caminetto, Monte del Casale, Petruscheto, Pineto, Santa Maria"
Comuni confinanti,"Campagnano di Roma, Castelnuovo di Porto, Formello, Magliano Romano, Riano, Roma"
Altre informazioni,Altre informazioni
Cod. postale,00060
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058093
Cod. catastale,H658
Targa,RM
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona D, 1 751 GG[3]"
Nome abitanti,scrofanesi
Patrono,santi Biagio e Geminiano
Giorno festivo,3 febbraio
Cartografia,Cartografia
Sacrofano,Sacrofano
Sacrofano – MappaPosizione del comune di Sacrofano nella città metropolitana di Roma Capitale,Sacrofano – MappaPosizione del comune di Sacrofano nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
