Sant'Angelo Romano comune,Sant'Angelo Romano comune.1
,
Sant'Angelo Romano – VedutaVeduta di Sant'Angelo Romano sul monte Patulo,Sant'Angelo Romano – VedutaVeduta di Sant'Angelo Romano sul monte Patulo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Antonio Cornacchia (lista civica) dal 26-05-2025
Territorio,Territorio
Coordinate,42°02′N 12°43′E
Altitudine,400[1] m s.l.m.
Superficie,"21,36 km²"
Abitanti,5 054[2] (30-11-2025)
Densità,"236,61 ab./km²"
Frazioni,"Collelungo, La Selva, Osteria Nuova, Pantano-Quarticciolo, Piedimonte, Ponte delle Tavole-Pichini, Poggio Cesi-Grotte Cerqueta, Valle Mara-Cioccati"
Comuni confinanti,"Fonte Nuova, Guidonia Montecelio, Mentana, Palombara Sabina"
Altre informazioni,Altre informazioni
Cod. postale,00010
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058098
Cod. catastale,I284
Targa,RM
Cl. sismica,zona 2B (sismicità media)[3]
Cl. climatica,"zona D, 1 928 GG[4]"
Nome abitanti,santangelesi
Patrono,san Michele Arcangelo e santa Liberata
Giorno festivo,3 febbraio
Cartografia,Cartografia
Sant'Angelo Romano,Sant'Angelo Romano
Sant'Angelo Romano – MappaPosizione del comune di Sant'Angelo Romano nella città metropolitana di Roma Capitale,Sant'Angelo Romano – MappaPosizione del comune di Sant'Angelo Romano nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
