Segni comune,Segni comune.1
,
Segni – Veduta,Segni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Silvano Moffa (lista civica Nuova Segni) dal 15-5-2023
Territorio,Territorio
Coordinate,41°41′N 13°01′E
Altitudine,668 m s.l.m.
Superficie,"60,86 km²"
Abitanti,8 950[1] (30-11-2025)
Densità,"147,06 ab./km²"
Frazioni,"Sacriporto, Recchia, Fornaci"
Comuni confinanti,"Artena, Colleferro, Cori (LT), Gavignano, Montelanico, Paliano (FR), Rocca Massima (LT)"
Altre informazioni,Altre informazioni
Cod. postale,00037
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058102
Cod. catastale,I573
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 331 GG[3]"
Nome abitanti,segnini
Patrono,san Bruno
Giorno festivo,18 luglio
Cartografia,Cartografia
Segni,Segni
Segni – MappaPosizione del comune di Segni nella città metropolitana di Roma Capitale,Segni – MappaPosizione del comune di Segni nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
