Artena comune,Artena comune.1
,
Artena – Veduta,Artena – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Silvia Carocci (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,41°44′N 12°55′E
Altitudine,420[1] m s.l.m.
Superficie,"54,8 km²"
Abitanti,13 673[2] (30-11-2025)
Densità,"249,51 ab./km²"
Frazioni,"Macere, Colubro, Maiotini, Abbazia, Selvatico, Valli,Via Giulianello, Via Latina, Torretta, Via Velletri, Centro storico"
Comuni confinanti,"Cisterna di Latina (LT), Colleferro, Cori (LT), Lariano, Palestrina, Rocca di Papa, Rocca Massima (LT), Rocca Priora, Segni, Valmontone, Velletri"
Altre informazioni,Altre informazioni
Cod. postale,00031
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058011
Cod. catastale,A449
Targa,RM
Cl. sismica,zona 2B (sismicità media)[3]
Cl. climatica,"zona D, 1 912 GG[4]"
Nome abitanti,artenesi
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Artena,Artena
Artena – MappaPosizione del comune di Artena nella città metropolitana di Roma Capitale,Artena – MappaPosizione del comune di Artena nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
