Ciampino comune,Ciampino comune.1
,
Ciampino – VedutaFacciata della chiesa del Sacro Cuore (1925).,Ciampino – VedutaFacciata della chiesa del Sacro Cuore (1925).
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Emanuela Colella (PD) dal 26-6-2022
Data di istituzione,18 dicembre 1974
Territorio,Territorio
Coordinate,41°48′N 12°36′E
Altitudine,124 m s.l.m.
Superficie,"13,38 km²"
Abitanti,38 895[1] (30-11-2025)
Densità,"2 906,95 ab./km²"
Frazioni,"Acqua Sotterra, Casabianca, Mola Cavona, Pantanelle, Valle Copella"
Comuni confinanti,"Grottaferrata, Marino, Roma"
Altre informazioni,Altre informazioni
Cod. postale,00043
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058118
Cod. catastale,M272
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 582 GG[3]"
Nome abitanti,ciampinesi
Patrono,Sacro Cuore di Gesù
Giorno festivo,venerdì dopo il Corpus Domini
Cartografia,Cartografia
Ciampino,Ciampino
Ciampino – MappaPosizione del comune di Ciampino nella città metropolitana di Roma Capitale,Ciampino – MappaPosizione del comune di Ciampino nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
