Saracinesco comune,Saracinesco comune.1
,
Saracinesco – Veduta,Saracinesco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Marco Orsola (Lista Per Saracinesco) dal 10-6-2024
Territorio,Territorio
Coordinate,42°00′N 12°57′E
Altitudine,908 m s.l.m.
Superficie,"11,16 km²"
Abitanti,178[1] (30-11-2025)
Densità,"15,95 ab./km²"
Frazioni,Macchiole[senza fonte]
Comuni confinanti,"Anticoli Corrado, Cerreto Laziale, Mandela, Rocca Canterano, Sambuci, Vicovaro"
Altre informazioni,Altre informazioni
Cod. postale,00020
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058101
Cod. catastale,I424
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 787 GG[3]"
Nome abitanti,saracinescani
Patrono,san Michele Arcangelo
Giorno festivo,ultima domenica di settembre
Cartografia,Cartografia
Saracinesco,Saracinesco
Saracinesco – MappaPosizione del comune di Saracinesco nella città metropolitana di Roma Capitale,Saracinesco – MappaPosizione del comune di Saracinesco nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
