Fiano Romano comune,Fiano Romano comune.1
,
Fiano Romano – Veduta,Fiano Romano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Davide Santonastaso (indipendente di sinistra) dal 10-06-2025
Territorio,Territorio
Coordinate,42°10′N 12°36′E
Altitudine,97 m s.l.m.
Superficie,"41,19 km²"
Abitanti,16 892[1] (30-11-2025)
Densità,"410,1 ab./km²"
Comuni confinanti,"Capena, Civitella San Paolo, Montelibretti, Montopoli di Sabina (RI), Nazzano"
Altre informazioni,Altre informazioni
Cod. postale,00065
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,058036
Cod. catastale,D561
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 637 GG[3]"
Nome abitanti,fianesi
Patrono,santo Stefano
Giorno festivo,3 agosto
Cartografia,Cartografia
Fiano Romano,Fiano Romano
Fiano Romano – MappaPosizione del comune di Fiano Romano nella città metropolitana di Roma Capitale,Fiano Romano – MappaPosizione del comune di Fiano Romano nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
