Marcellina comune,Marcellina comune.1
,
Marcellina – Veduta,Marcellina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Alessandro Lundini (lista civica) dal 5-5-2016
Territorio,Territorio
Coordinate,42°01′25″N 12°48′25″E
Altitudine,285 m s.l.m.
Superficie,"15,36 km²"
Abitanti,7 148[1] (30-11-2025)
Densità,"465,36 ab./km²"
Frazioni,"Marcellina Scalo, Vocabolo Campetella, Marcellinetta, Vergineto"
Comuni confinanti,"Guidonia Montecelio, San Polo dei Cavalieri, Tivoli"
Altre informazioni,Altre informazioni
Cod. postale,00010
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058056
Cod. catastale,E924
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 865 GG[3]"
Nome abitanti,marcellinesi
Patrono,Madonna delle Grazie
Giorno festivo,15 settembre
Cartografia,Cartografia
Marcellina,Marcellina
Marcellina – MappaPosizione del comune di Marcellina nella città metropolitana di Roma Capitale,Marcellina – MappaPosizione del comune di Marcellina nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
