Anguillara Sabazia comune,Anguillara Sabazia comune.1
,
Anguillara Sabazia – VedutaVeduta aerea,Anguillara Sabazia – VedutaVeduta aerea
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Angelo Pizzigallo (Indipendente di centro-destra) dal 6-10-2020
Data di istituzione,1790
Territorio,Territorio
Coordinate,42°05′18″N 12°16′39″E
Altitudine,195 m s.l.m.
Superficie,"74,93 km²"
Acque interne,"23,12 km² (30,86%)"
Abitanti,19 059[1] (30-11-2025)
Densità,"254,36 ab./km²"
Frazioni,"Fonte Claudia, Ponton dell'Elce, Stazione"
Comuni confinanti,"Bracciano, Campagnano di Roma, Cerveteri, Fiumicino, Roma, Trevignano Romano"
Altre informazioni,Altre informazioni
Cod. postale,00061
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058005
Cod. catastale,A297
Targa,RM
Cl. sismica,zona 3B (sismicità bassa)[2]
Cl. climatica,"zona D, 1 642 GG[3]"
Nome abitanti,anguillarini
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Anguillara Sabazia,Anguillara Sabazia
Anguillara Sabazia – MappaPosizione del comune di Anguillara Sabazia nella città metropolitana di Roma Capitale,Anguillara Sabazia – MappaPosizione del comune di Anguillara Sabazia nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
