Affile comune,Affile comune.1
,
Affile – Veduta,Affile – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Paolo Pacifici (lista civica di destra Insieme) dal 15-5-2023
Territorio,Territorio
Coordinate,41°53′06″N 13°05′46″E
Altitudine,684 m s.l.m.
Superficie,"15,11 km²"
Abitanti,1 403[1] (30-11-2025)
Densità,"92,85 ab./km²"
Comuni confinanti,"Arcinazzo Romano, Bellegra, Rocca Santo Stefano, Roiate, Subiaco"
Altre informazioni,Altre informazioni
Cod. postale,00021
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058001
Cod. catastale,A062
Targa,Roma/RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 535 GG[3]"
Nome abitanti,affilani
Patrono,santa Felicita
Giorno festivo,23 novembre
Cartografia,Cartografia
Affile,Affile
Affile – MappaPosizione del comune di Affile nella città metropolitana di Roma Capitale,Affile – MappaPosizione del comune di Affile nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
