Arsoli comune,Arsoli comune.1
,
Arsoli – VedutaIl castello Massimo,Arsoli – VedutaIl castello Massimo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Gabriele Caucci (Lista civica Impegno e trasparenza) dal 26-5-2014
Territorio,Territorio
Coordinate,42°02′25.66″N 13°01′04.12″E
Altitudine,470 m s.l.m.
Superficie,"12,2 km²"
Abitanti,1 346[1] (30-11-2025)
Densità,"110,33 ab./km²"
Comuni confinanti,"Cervara di Roma, Marano Equo, Oricola (AQ), Riofreddo, Rocca di Botte (AQ), Roviano"
Altre informazioni,Altre informazioni
Cod. postale,00023
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058010
Cod. catastale,A446
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 199 GG[3]"
Nome abitanti,arsolani
Patrono,san Bartolomeo apostolo e Madonna di Guadalupe
Giorno festivo,24 agosto e ultima domenica di agosto
Cartografia,Cartografia
Arsoli,Arsoli
Arsoli – MappaPosizione del comune di Arsoli nella città metropolitana di Roma Capitale,Arsoli – MappaPosizione del comune di Arsoli nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
