Santa Marinella comune,Santa Marinella comune.1
(dettagli)  (dettagli),(dettagli)  (dettagli)
Santa Marinella – VedutaVista sulla via Aurelia nel centro cittadino,Santa Marinella – VedutaVista sulla via Aurelia nel centro cittadino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Desideria Toscano (Commissario Prefettizio) dal 01-12-2025
Territorio,Territorio
Coordinate,42°02′N 11°51′E
Altitudine,7 m s.l.m.
Superficie,"48,91 km²"
Abitanti,18 454[1] (30-11-2025)
Densità,"377,31 ab./km²"
Frazioni,Santa Severa
Comuni confinanti,"Allumiere, Cerveteri, Civitavecchia, Tolfa"
Altre informazioni,Altre informazioni
Cod. postale,00058
Prefisso,0766
Fuso orario,UTC+1
Codice ISTAT,058097
Cod. catastale,I255
Targa,RM
Cl. sismica,zona 3B (sismicità bassa)[2]
Cl. climatica,"zona C, 1 264 GG[3]"
Nome abitanti,santamarinellesi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Santa Marinella,Santa Marinella
Santa Marinella – MappaPosizione del comune di Santa Marinella nella città metropolitana di Roma Capitale,Santa Marinella – MappaPosizione del comune di Santa Marinella nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
