Capena comune,Capena comune.1
,
Capena – VedutaVeduta,Capena – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Roberto Barbetti (lista civica Futuro Adesso 2.0) dal 12-6-2022
Territorio,Territorio
Coordinate,42°08′25″N 12°32′25″E
Altitudine,160 m s.l.m.
Superficie,"29,51 km²"
Abitanti,11 058[1] (30-11-2025)
Densità,"374,72 ab./km²"
Frazioni,"Scorano, Santa Marta, Colle del Fagiano, Rosetole, Selvotta, Pastinacci, Fioretta (Traversa del Grillo)"
Comuni confinanti,"Civitella San Paolo, Castelnuovo di Porto, Fiano Romano, Montelibretti, Monterotondo, Morlupo, Rignano Flaminio"
Altre informazioni,Altre informazioni
Cod. postale,00060
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058018
Cod. catastale,B649
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 747 GG[3]"
Nome abitanti,capenati
Patrono,san Luca Evangelista
Giorno festivo,18 ottobre
Cartografia,Cartografia
Capena,Capena
Capena – MappaPosizione del comune di Capena nella città metropolitana di Roma Capitale,Capena – MappaPosizione del comune di Capena nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
