Casape comune,Casape comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Giuliano Colagrossi (Rinascita Casape) dal 13-06-2022
Territorio,Territorio
Coordinate,41°54′25″N 12°53′08″E
Altitudine,475 m s.l.m.
Superficie,"5,38 km²"
Abitanti,605[1] (30-11-2025)
Densità,"112,45 ab./km²"
Comuni confinanti,"Capranica Prenestina, Poli, San Gregorio da Sassola"
Altre informazioni,Altre informazioni
Cod. postale,00010
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058021
Cod. catastale,B932
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 189 GG[3]"
Nome abitanti,casapesi
Patrono,san Pietro Apostolo
Giorno festivo,18 agosto
Cartografia,Cartografia
Casape,Casape
Casape – MappaPosizione del comune di Casape nella città metropolitana di Roma Capitale,Casape – MappaPosizione del comune di Casape nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
