Anticoli Corrado comune,Anticoli Corrado comune.1
,
Anticoli Corrado – VedutaVeduta di Anticoli Corrado,Anticoli Corrado – VedutaVeduta di Anticoli Corrado
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Francesco De Angelis (lista civica Anticoli in comune) dal 4-10-2021
Territorio,Territorio
Coordinate,42°01′N 12°59′E
Altitudine,508 m s.l.m.
Superficie,"16,22 km²"
Abitanti,844[1] (30-11-2025)
Densità,"52,03 ab./km²"
Comuni confinanti,"Mandela, Marano Equo, Rocca Canterano, Roviano, Saracinesco, Arsoli, Cervara di Roma, Cineto Romano"
Altre informazioni,Altre informazioni
Cod. postale,00022
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058006
Cod. catastale,A309
Targa,Roma/RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 408 GG[3]"
Nome abitanti,anticolani
Patrono,santa Vittoria
Giorno festivo,23 dicembre
Cartografia,Cartografia
Anticoli Corrado,Anticoli Corrado
Anticoli Corrado – MappaPosizione del comune di Anticoli Corrado nella città metropolitana di Roma Capitale,Anticoli Corrado – MappaPosizione del comune di Anticoli Corrado nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
