Genazzano comune,Genazzano comune.1
,
"Genazzano – VedutaIl ""Castello Colonna"" sotto la nevicata del gennaio 2012","Genazzano – VedutaIl ""Castello Colonna"" sotto la nevicata del gennaio 2012"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Alessandro Cefaro (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,41°49′59.94″N 12°58′22.22″E
Altitudine,375 m s.l.m.
Superficie,"32,07 km²"
Abitanti,5 721[1] (30-11-2025)
Densità,"178,39 ab./km²"
Frazioni,"San Filippo, San Sebastiano, Acqua Santa, Maccareccia, La Madonnella, La Creta"
Comuni confinanti,"Capranica Prenestina, Cave, Colleferro, Olevano Romano, Paliano (FR), Rocca di Cave, San Vito Romano, Valmontone"
Altre informazioni,Altre informazioni
Cod. postale,00030
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058042
Cod. catastale,D964
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 886 GG[3]"
Nome abitanti,genazzanesi
Patrono,"san Nicola, Madre del Buon Consiglio"
Giorno festivo,"6 dicembre, 25 aprile"
Cartografia,Cartografia
Genazzano,Genazzano
Genazzano – MappaPosizione del comune di Genazzano nella città metropolitana di Roma Capitale,Genazzano – MappaPosizione del comune di Genazzano nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
