Vallinfreda comune,Vallinfreda comune.1
,
Vallinfreda – VedutaVista di insieme della chiesa parrocchiale di San Michele Arcangelo e del palazzo Bencivenga.,Vallinfreda – VedutaVista di insieme della chiesa parrocchiale di San Michele Arcangelo e del palazzo Bencivenga.
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Filippo Sturabotti (lista civica Uniti per Vallinfreda) dal 4-10-2021
Territorio,Territorio
Coordinate,42°05′N 12°58′E
Altitudine,874 m s.l.m.
Superficie,"16,72 km²"
Abitanti,260[1] (30-11-2025)
Densità,"15,55 ab./km²"
Frazioni,Conifere
Comuni confinanti,"Cineto Romano, Oricola (AQ), Orvinio (RI), Percile, Riofreddo, Vivaro Romano"
Altre informazioni,Altre informazioni
Cod. postale,00020
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058109
Cod. catastale,L625
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 920 GG[3]"
Nome abitanti,vallinfredani
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Vallinfreda,Vallinfreda
Vallinfreda – MappaPosizione del comune di Vallinfreda nella città metropolitana di Roma Capitale,Vallinfreda – MappaPosizione del comune di Vallinfreda nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
