Labico comune,Labico comune.1
,
Labico – Veduta,Labico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Danilo Giovannoli (Labico bene comune) dall'11-6-2017
Territorio,Territorio
Coordinate,41°47′N 12°53′E
Altitudine,319 m s.l.m.
Superficie,"11,75 km²"
Abitanti,6 412[1] (30-11-2025)
Densità,"545,7 ab./km²"
Frazioni,Colle Spina
Comuni confinanti,"Palestrina, Valmontone"
Altre informazioni,Altre informazioni
Cod. postale,00030
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058049
Cod. catastale,E392
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 791 GG[3]"
Nome abitanti,labicani
Patrono,sant'Andrea compatrono: san Rocco
Giorno festivo,sabato che precede l'ultima domenica di agosto
Cartografia,Cartografia
Labico,Labico
Labico – MappaPosizione del comune di Labico nella città metropolitana di Roma Capitale,Labico – MappaPosizione del comune di Labico nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
