Castelnuovo di Porto comune,Castelnuovo di Porto comune.1
,
Castelnuovo di Porto – VedutaPanorama,Castelnuovo di Porto – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Riccardo Travaglini (lista civica Castelnuovo Rinasce) dall'11-6-2017
Territorio,Territorio
Coordinate,42°07′40″N 12°30′00″E
Altitudine,250 m s.l.m.
Superficie,"30,57 km²"
Abitanti,8 620[1] (30-11-2025)
Densità,"281,98 ab./km²"
Frazioni,"Capanelle, Pontestorto, Montelungo, Tre Pontoni, Valle Ioro, Vallelinda"
Comuni confinanti,"Capena, Magliano Romano, Monterotondo, Morlupo, Riano, Sacrofano"
Altre informazioni,Altre informazioni
Cod. postale,00060
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058024
Cod. catastale,C237
Targa,RM
Cl. sismica,zona 3A (sismicità bassa)[2]
Nome abitanti,castelnovesi
Patrono,sant'Antonino
Giorno festivo,2 settembre
Cartografia,Cartografia
Castelnuovo di Porto,Castelnuovo di Porto
Castelnuovo di Porto – MappaPosizione del comune di Castelnuovo di Porto nella città metropolitana di Roma Capitale,Castelnuovo di Porto – MappaPosizione del comune di Castelnuovo di Porto nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
