Monterotondo comune,Monterotondo comune.1
,
Monterotondo – Veduta,Monterotondo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Riccardo Varone (PD) dal 12-6-2019 (2º mandato dal 14-6-2024)
Territorio,Territorio
Coordinate,42°03′N 12°37′E
Altitudine,165 m s.l.m.
Superficie,"40,94 km²"
Abitanti,41 202[1] (30-11-2025)
Densità,"1 006,4 ab./km²"
Frazioni,"Monterotondo Scalo, Piedicosta, Borgonovo, Tormancina, San Martino, Grotta Marozza, La Ficorella, La Fonte"
Comuni confinanti,"Capena, Castelnuovo di Porto, Fonte Nuova, Mentana, Montelibretti, Palombara Sabina, Riano, Roma"
Altre informazioni,Altre informazioni
Cod. postale,00015
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058065
Cod. catastale,F611
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 669 GG[3]"
Nome abitanti,"monterotondesi, eretini"
Patrono,santi Filippo e Giacomo
Giorno festivo,3 maggio
Cartografia,Cartografia
Monterotondo,Monterotondo
Monterotondo – MappaPosizione del comune di Monterotondo nella città metropolitana di Roma Capitale,Monterotondo – MappaPosizione del comune di Monterotondo nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
