Monte Compatri comune,Monte Compatri comune.1
,
Monte Compatri – VedutaLa parte vecchia del paese arroccata,Monte Compatri – VedutaLa parte vecchia del paese arroccata
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Francesco Ferri (lista civica Ora Monte Compatri) dal 5-10-2021
Territorio,Territorio
Coordinate,41°48′29″N 12°44′14″E
Altitudine,576 m s.l.m.
Superficie,"24,57 km²"
Abitanti,11 636[1] (30-11-2025)
Densità,"473,59 ab./km²"
Frazioni,"Laghetto, Molara, Pantano borghese"
Comuni confinanti,"Colonna, Grottaferrata, Monte Porzio Catone, Rocca di Papa, Rocca Priora, Roma, San Cesareo, Zagarolo"
Altre informazioni,Altre informazioni
Cod. postale,00077
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058060
Cod. catastale,F477
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 222 GG[3]"
Nome abitanti,monticiani o più propriamente compatresi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Monte Compatri,Monte Compatri
Monte Compatri – MappaPosizione del comune di Monte Compatri nella città metropolitana di Roma Capitale,Monte Compatri – MappaPosizione del comune di Monte Compatri nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
