Mentana comune,Mentana comune.1
,
"Mentana – VedutaPanorama, 2010","Mentana – VedutaPanorama, 2010"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Marco Benedetti (patto civico) dal 19-6-2016 (2º mandato dall'8-10-2021)
Territorio,Territorio
Coordinate,42°02′01.42″N 12°38′40.02″E
Altitudine,150 m s.l.m.
Superficie,"24,27 km²"
Abitanti,22 642[1] (30-11-2025)
Densità,"932,92 ab./km²"
Frazioni,"Casali, Castelchiodato, Mezzaluna"
Comuni confinanti,"Fonte Nuova, Monterotondo, Palombara Sabina, Roma, Sant'Angelo Romano"
Altre informazioni,Altre informazioni
Cod. postale,00013
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058059
Cod. catastale,F127
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 641 GG[3]"
Nome abitanti,mentanesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Motto,"Dio, Patria, Umanità"
Cartografia,Cartografia
Mentana,Mentana
Mentana – MappaPosizione del comune di Mentana nella città metropolitana di Roma Capitale,Mentana – MappaPosizione del comune di Mentana nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
