Marano Equo comune,Marano Equo comune.1
,
Marano Equo – Veduta,Marano Equo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Franco Tozzi (lista civica Per Marano Equo 2020) dal 21-9-2020
Territorio,Territorio
Coordinate,41°59′38″N 13°01′00″E
Altitudine,450 m s.l.m.
Superficie,"7,65 km²"
Abitanti,759[1] (30-11-2025)
Densità,"99,22 ab./km²"
Comuni confinanti,"Agosta, Anticoli Corrado, Arsoli, Cervara di Roma, Rocca Canterano, Roviano"
Altre informazioni,Altre informazioni
Cod. postale,00020
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058055
Cod. catastale,E908
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 2 013 GG[3]"
Nome abitanti,maranesi
Patrono,san Biagio e Madonna della Quercia
Giorno festivo,3 febbraio e 5 agosto
Cartografia,Cartografia
Marano Equo,Marano Equo
Marano Equo – MappaPosizione del comune di Marano Equo nella città metropolitana di Roma Capitale,Marano Equo – MappaPosizione del comune di Marano Equo nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
