Gallicano nel Lazio comune,Gallicano nel Lazio comune.1
,
Gallicano nel Lazio – Veduta,Gallicano nel Lazio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Fabio Bertoldo (lista civica Gallicano nel cuore) dal 15-5-2023
Territorio,Territorio
Coordinate,41°52′N 12°49′E
Altitudine,214 m s.l.m.
Superficie,"25,7 km²"
Abitanti,6 577[1] (30-11-2025)
Densità,"255,91 ab./km²"
Frazioni,"Acquatraversa, Passerano"
Comuni confinanti,"Palestrina, Roma, Zagarolo"
Altre informazioni,Altre informazioni
Cod. postale,00010
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058040
Cod. catastale,D875
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 659 GG[3]"
Nome abitanti,gallicanesi
Patrono,Natività di Maria e Sant'Andrea Apostolo
Giorno festivo,"8-10 settembre, 30 novembre"
Motto,Gallus Canit
Cartografia,Cartografia
Gallicano nel Lazio,Gallicano nel Lazio
Gallicano nel Lazio – MappaPosizione del comune di Gallicano nel Lazio nella città metropolitana di Roma Capitale,Gallicano nel Lazio – MappaPosizione del comune di Gallicano nel Lazio nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
