Camerata Nuova comune,Camerata Nuova comune.1
,
Camerata Nuova – VedutaSpunto del borgo,Camerata Nuova – VedutaSpunto del borgo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Settimio Liberati (lista civica Sviluppo & tradizione) dal 25-6-2012 (3º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,42°01′N 13°06′E
Altitudine,810 m s.l.m.
Superficie,"40,5 km²"
Abitanti,403[1] (30-11-2025)
Densità,"9,95 ab./km²"
Comuni confinanti,"Cappadocia (AQ), Cervara di Roma, Rocca di Botte (AQ), Subiaco, Vallepietra"
Altre informazioni,Altre informazioni
Cod. postale,00020
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058014
Cod. catastale,B472
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 921 GG[3]"
Nome abitanti,cameratani
Patrono,sant'Egidio
Giorno festivo,1º settembre
Cartografia,Cartografia
Camerata Nuova,Camerata Nuova
Camerata Nuova – MappaPosizione del comune di Camerata Nuova nella città metropolitana di Roma Capitale,Camerata Nuova – MappaPosizione del comune di Camerata Nuova nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
