Magliano Romano comune,Magliano Romano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,"Francesco Mancini (lista civica ""Si amo Magliano"") dal 10-6-2018"
Data di istituzione,1º gennaio 1958
Territorio,Territorio
Coordinate,42°09′36″N 12°26′09″E
Altitudine,415 m s.l.m.
Superficie,"20,52 km²"
Abitanti,1 384[1] (30-11-2025)
Densità,"67,45 ab./km²"
Comuni confinanti,"Calcata (VT), Campagnano di Roma, Castelnuovo di Porto, Mazzano Romano, Morlupo, Rignano Flaminio, Sacrofano"
Altre informazioni,Altre informazioni
Cod. postale,00060
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058052
Cod. catastale,E813
Targa,RM
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona D, 1 769 GG[3]"
Nome abitanti,maglianesi
Patrono,san Giovanni Battista e santa Pudenziana
Giorno festivo,24 giugno-quarta domenica di giugno
Cartografia,Cartografia
Magliano Romano,Magliano Romano
Magliano Romano – MappaPosizione del comune di Magliano Romano nella città metropolitana di Roma Capitale,Magliano Romano – MappaPosizione del comune di Magliano Romano nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
