Allumiere comune,Allumiere comune.1
,
Allumiere – Veduta,Allumiere – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Luigi Landi dal 13-6-2022
Territorio,Territorio
Coordinate,42°09′25″N 11°54′17″E
Altitudine,522 m s.l.m.
Superficie,"92,17 km²"
Abitanti,3 759[1] (30-11-2025)
Densità,"40,78 ab./km²"
Frazioni,"Contrade: Burò, Ghetto, La Bianca, Nona, Polveriera, Sant'Antonio"
Comuni confinanti,"Civitavecchia, Santa Marinella, Tarquinia (VT), Tolfa"
Altre informazioni,Altre informazioni
Cod. postale,00051
Prefisso,0766
Fuso orario,UTC+1
Codice ISTAT,058004
Cod. catastale,A210
Targa,RM
Cl. sismica,zona 3B (sismicità bassa)[2]
Cl. climatica,"zona E, 2 134 GG[3]"
Nome abitanti,allumieraschi
Patrono,Maria Santissima Assunta in Cielo
Giorno festivo,15 agosto
Cartografia,Cartografia
Allumiere,Allumiere
Allumiere – MappaPosizione del comune di Allumiere nella città metropolitana di Roma Capitale,Allumiere – MappaPosizione del comune di Allumiere nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
