Tivoli comune,Tivoli comune.1
,
"Tivoli – VedutaPartendo dall'alto: Fontana di Villa d'Este, Rocca Pia, Vista della Villa d'Este, Tempio di Vesta, Villa Adriana, Duomo di Tivoli","Tivoli – VedutaPartendo dall'alto: Fontana di Villa d'Este, Rocca Pia, Vista della Villa d'Este, Tempio di Vesta, Villa Adriana, Duomo di Tivoli"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Marco Innocenzi[1] (Fdl) dal 10-6-2024
Territorio,Territorio
Coordinate,41°58′N 12°48′E
Altitudine,235 m s.l.m.
Superficie,"68,65 km²"
Abitanti,55 298[2] (30-11-2025)
Densità,"805,51 ab./km²"
Frazioni,"Campolimpido, Favale, Martellona, Tivoli Terme, Villa Adriana"
Comuni confinanti,"Castel Madama, Guidonia Montecelio, Marcellina, Roma, San Gregorio da Sassola, San Polo dei Cavalieri, Vicovaro"
Altre informazioni,Altre informazioni
Cod. postale,00019
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058104
Cod. catastale,L182
Targa,ROMA
Cl. sismica,zona 2B (sismicità media)[3]
Cl. climatica,"zona D, 1 580 GG[4]"
Nome abitanti,tiburtini[5] o tivolesi[6]
Patrono,San Lorenzo
Giorno festivo,10 agosto
Soprannome,Superba
Motto,(LA) Tibur Superbum (IT) Tivoli superba
Cartografia,Cartografia
Tivoli,Tivoli
Tivoli – MappaPosizione del comune di Tivoli nella città metropolitana di Roma Capitale,Tivoli – MappaPosizione del comune di Tivoli nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
