Cave comune,Cave comune.1
,
Cave – Veduta,Cave – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Angelo Lupi (lista civica di destra Cave città bene comune) dal 26-5-2014(3°mandato dal 9-6-2024
Territorio,Territorio
Coordinate,41°49′N 12°56′E
Altitudine,399 m s.l.m.
Superficie,"17,88 km²"
Abitanti,10 944[1] (30-11-2025)
Densità,"612,08 ab./km²"
Frazioni,"Colle Palme, San Bartolomeo"
Comuni confinanti,"Castel San Pietro Romano, Genazzano, Palestrina, Rocca di Cave, Valmontone"
Altre informazioni,Altre informazioni
Cod. postale,00033
Prefisso,069580 e 069581
Fuso orario,UTC+1
Codice ISTAT,058026
Cod. catastale,C390
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 926 GG[3]"
Nome abitanti,"cavesi, cavensi, caviselli, cavisii"
Patrono,Madonna del Campo
Giorno festivo,27 aprile
Cartografia,Cartografia
Cave,Cave
Cave – MappaPosizione del comune di Cave nella città metropolitana di Roma Capitale,Cave – MappaPosizione del comune di Cave nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
