Rocca Priora comune,Rocca Priora comune.1
,
Rocca Priora – VedutaVista da ovest nei pressi della Via Anagnina,Rocca Priora – VedutaVista da ovest nei pressi della Via Anagnina
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Claudio Fatelli (lista civica Fare Rocca Priora) dal 9-06-2024
Territorio,Territorio
Coordinate,41°47′N 12°46′E
Altitudine,768 m s.l.m.
Superficie,"28,27 km²"
Abitanti,12 147[1] (30-11-2025)
Densità,"429,68 ab./km²"
Frazioni,"Colle di Fuori, Molara"
Comuni confinanti,"Artena, Lariano, Monte Compatri, Palestrina, Rocca di Papa, San Cesareo"
Altre informazioni,Altre informazioni
Cod. postale,00079
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058088
Cod. catastale,H432
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 548 GG[3]"
Nome abitanti,roccaprioresi
Patrono,san Rocco / san Sebastiano
Giorno festivo,16 agosto / 20 gennaio
Cartografia,Cartografia
Rocca Priora,Rocca Priora
Rocca Priora – MappaPosizione del comune di Rocca Priora nella città metropolitana di Roma Capitale,Rocca Priora – MappaPosizione del comune di Rocca Priora nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
