Rocca Canterano comune,Rocca Canterano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Fulvio Proietti (lista civica Rocca Canterano Bene Comune) dal 26-5-2014 (2º mandato dal 26-05-2019)
Territorio,Territorio
Coordinate,41°57′N 13°01′E
Altitudine,745 m s.l.m.
Superficie,"15,84 km²"
Abitanti,171[1] (30-11-2025)
Densità,"10,8 ab./km²"
Frazioni,Rocca di Mezzo
Comuni confinanti,"Agosta, Anticoli Corrado, Canterano, Cerreto Laziale, Gerano, Marano Equo, Saracinesco"
Altre informazioni,Altre informazioni
Cod. postale,00020
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058084
Cod. catastale,H387
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 640 GG[3]"
Nome abitanti,roccacanteranesi
Patrono,san Michele
Giorno festivo,8 maggio
Cartografia,Cartografia
Rocca Canterano,Rocca Canterano
Rocca Canterano – MappaPosizione del comune di Rocca Canterano nella città metropolitana di Roma Capitale,Rocca Canterano – MappaPosizione del comune di Rocca Canterano nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
