Frascati comune,Frascati comune.1
,
Frascati – VedutaVista di Frascati,Frascati – VedutaVista di Frascati
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Francesca Sbardella (PD) dal 20-10-2021
Territorio,Territorio
Coordinate,41°49′N 12°41′E
Altitudine,320[1] m s.l.m.
Superficie,"22,48 km²"
Abitanti,22 949[2] (30-11-2025)
Densità,"1 020,86 ab./km²"
Frazioni,"Cisternole, Cocciano, Colle Pizzuto, Colle Reti, Macchia dello Sterparo, Pantano Secco, Prataporci, SS. Apostoli, Selvotta, Spinoretico, Vermicino, Villa Muti, XXII Rubbia"
Comuni confinanti,"Grottaferrata, Monte Porzio Catone, Roma"
Altre informazioni,Altre informazioni
Cod. postale,00044
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058039
Cod. catastale,D773
Targa,RM
Cl. sismica,zona 2B (sismicità media)[3]
Cl. climatica,"zona D, 1 818 GG[4]"
Nome abitanti,frascatani o tuscolani
Patrono,santi Filippo e Giacomo
Giorno festivo,3 maggio
Cartografia,Cartografia
Frascati,Frascati
Frascati – MappaPosizione del comune di Frascati nella città metropolitana di Roma Capitale,Frascati – MappaPosizione del comune di Frascati nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
