Civitavecchia comune,Civitavecchia comune.1
,
Civitavecchia – VedutaVeduta aerea di Civitavecchia,Civitavecchia – VedutaVeduta aerea di Civitavecchia
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Marco Piendibene (PD) dal 24-6-2024
Territorio,Territorio
Coordinate,42°06′N 11°48′E
Altitudine,10 m s.l.m.
Superficie,"73,74 km²"
Abitanti,51 389[1] (30-11-2025)
Densità,"696,89 ab./km²"
Frazioni,"Aurelia, La Scaglia"
Comuni confinanti,"Allumiere, Santa Marinella, Tarquinia (VT)"
Altre informazioni,Altre informazioni
Cod. postale,00053
Prefisso,0766
Fuso orario,UTC+1
Codice ISTAT,058032
Cod. catastale,C773
Targa,Roma/RM
Cl. sismica,zona 3B (sismicità bassa)[2]
Cl. climatica,"zona C, 1 085 GG[3]"
Nome abitanti,civitavecchiesi
Patrono,santa Fermina
Giorno festivo,28 aprile
Cartografia,Cartografia
Civitavecchia,Civitavecchia
Civitavecchia – MappaPosizione del comune di Civitavecchia nella città metropolitana di Roma Capitale,Civitavecchia – MappaPosizione del comune di Civitavecchia nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
