Agosta comune,Agosta comune.1
,
Agosta – VedutaVeduta di Agosta,Agosta – VedutaVeduta di Agosta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Massimiliano Valente (Movimento per Agosta) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,41°58′57″N 13°02′01″E
Altitudine,382 m s.l.m.
Superficie,"9,5 km²"
Abitanti,1 678[1] (30-11-2025)
Densità,"176,63 ab./km²"
Frazioni,"Cacino, Barco, Vasca, Le Selve, Madonna della Pace, Tostini"
Comuni confinanti,"Canterano, Cervara di Roma, Marano Equo, Rocca Canterano, Subiaco"
Altre informazioni,Altre informazioni
Cod. postale,00020
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058002
Cod. catastale,A084
Targa,Roma/RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 898 GG[3]"
Nome abitanti,agostani
Patrono,sant'Agostino
Giorno festivo,28 agosto
Cartografia,Cartografia
Agosta,Agosta
Agosta – MappaPosizione del comune di Agosta nella città metropolitana di Roma Capitale,Agosta – MappaPosizione del comune di Agosta nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
