Gorga comune,Gorga comune.1
,
Gorga – VedutaVeduta di Gorga,Gorga – VedutaVeduta di Gorga
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Andrea Lepri (lista civica Uniti per unire) dal 26-5-2019
Territorio,Territorio
Coordinate,41°39′N 13°07′E
Altitudine,766[1] m s.l.m.
Superficie,"26,19 km²"
Abitanti,648[2] (30-11-2025)
Densità,"24,74 ab./km²"
Comuni confinanti,"Anagni (FR), Carpineto Romano, Montelanico, Morolo (FR), Sgurgola (FR), Supino (FR)"
Altre informazioni,Altre informazioni
Cod. postale,00030
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058045
Cod. catastale,E091
Targa,RM
Cl. sismica,zona 2B (sismicità media)[3]
Cl. climatica,"zona E, 2 547 GG[4]"
Nome abitanti,gorgani
Patrono,san Domenico
Giorno festivo,4 agosto
Cartografia,Cartografia
Gorga,Gorga
Gorga – MappaPosizione del comune di Gorga nella città metropolitana di Roma Capitale,Gorga – MappaPosizione del comune di Gorga nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
