Rocca di Papa comune,Rocca di Papa comune.1
,
Rocca di Papa – VedutaVista da Castel Gandolfo,Rocca di Papa – VedutaVista da Castel Gandolfo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Massimiliano Calcagni (centro-destra) dal 29-5-2023
Territorio,Territorio
Coordinate,41°45′43.09″N 12°42′24.72″E
Altitudine,680[1] m s.l.m.
Superficie,"39,72 km²"
Abitanti,17 952[2] (30-11-2025)
Densità,"451,96 ab./km²"
Frazioni,"Pratoni del Vivaro, Campi d'Annibale"
Comuni confinanti,"Albano Laziale, Ariccia, Artena, Castel Gandolfo, Grottaferrata, Lariano, Marino, Monte Compatri, Nemi, Rocca Priora, Velletri"
Altre informazioni,Altre informazioni
Cod. postale,00040
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058086
Cod. catastale,H404
Targa,RM
Cl. sismica,zona 2B (sismicità media)[3]
Cl. climatica,"zona E, 2 399 GG[4]"
Nome abitanti,rocchigiani
Patrono,san Carlo Borromeo
Giorno festivo,4 novembre
Cartografia,Cartografia
Rocca di Papa,Rocca di Papa
Rocca di Papa – MappaPosizione del comune di Rocca di Papa nella città metropolitana di Roma Capitale,Rocca di Papa – MappaPosizione del comune di Rocca di Papa nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
