Zagarolo comune,Zagarolo comune.1
,
Zagarolo – Veduta,Zagarolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Emanuela Panzironi (centro-sinistra) dal 5-10-2020
Territorio,Territorio
Coordinate,41°50′N 12°50′E
Altitudine,303 m s.l.m.
Superficie,"28,04 km²"
Abitanti,18 960[1] (30-11-2025)
Densità,"676,18 ab./km²"
Frazioni,Valle Martella
Comuni confinanti,"Gallicano nel Lazio, Monte Compatri, Palestrina, Roma, San Cesareo"
Altre informazioni,Altre informazioni
Cod. postale,00039
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058114
Cod. catastale,M141
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 893 GG[3]"
Nome abitanti,zagarolesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Zagarolo,Zagarolo
Zagarolo – MappaPosizione del comune di Zagarolo nella città metropolitana di Roma Capitale,Zagarolo – MappaPosizione del comune di Zagarolo nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
