Roma comune speciale,Roma comune speciale.1
Roma Capitale,Roma Capitale
(dettagli)  (dettagli),(dettagli)  (dettagli)
"Roma – VedutaRoma dall'alto, con al centro i Fori imperiali e il Colosseo","Roma – VedutaRoma dall'alto, con al centro i Fori imperiali e il Colosseo"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Roberto Gualtieri (PD) dal 21-10-2021
Data di istituzione,2 ottobre 1870
Territorio,Territorio
Coordinate,41°53′35″N 12°28′58″E
Altitudine,21 m s.l.m.
Superficie,"1 287,36[1] km²"
Abitanti,2 747 395[2] (30-11-2025)
Densità,"2 134,13 ab./km²"
Frazioni,Vedi categoria
Comuni confinanti,"Albano Laziale, Anguillara Sabazia, Ardea, Campagnano di Roma, Castel Gandolfo, Castel San Pietro Romano, Ciampino, Città del Vaticano[3], Colonna, Fiumicino, Fonte Nuova, Formello, Frascati, Gallicano nel Lazio, Grottaferrata, Guidonia Montecelio, Marino, Mentana, Monte Porzio Catone, Monte Compatri, Monterotondo, Palestrina, Poli, Pomezia, Riano, Sacrofano, San Gregorio da Sassola, Tivoli, Trevignano Romano, Zagarolo"
Altre informazioni,Altre informazioni
Cod. postale,00118–00199
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058091
Cod. catastale,H501
Targa,Roma o RM
Cl. sismica,zona 2A (sismicità media) zona 3A (sismicità bassa) zona 3B (sismicità bassa)[4]
Cl. climatica,"zona D, 1 415 GG[5]"
Nome abitanti,romani o capitolini
Patrono,Santi Pietro e Paolo
Giorno festivo,29 giugno
Soprannome,"Città eterna, Urbe, Caput Mundi,Caput Fidei,Città dei Sette Colli,Urbs Sacra"
Motto,Senatus PopulusQue Romanus
Cartografia,Cartografia
Roma,Roma
Roma – MappaIl comune di Roma all'interno dell'omonima città metropolitana,Roma – MappaIl comune di Roma all'interno dell'omonima città metropolitana
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
