Sambuci comune,Sambuci comune.1
,
Sambuci – VedutaPiazza Roma e via Alberto Theoldoli,Sambuci – VedutaPiazza Roma e via Alberto Theoldoli
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Dario Ronchetti (Sambuci in Comune) dal 10-6-2024
Territorio,Territorio
Coordinate,41°59′N 12°56′E
Altitudine,434 m s.l.m.
Superficie,"8,3 km²"
Abitanti,833[1] (30-11-2025)
Densità,"100,36 ab./km²"
Comuni confinanti,"Castel Madama, Cerreto Laziale, Ciciliano, Saracinesco, Vicovaro"
Altre informazioni,Altre informazioni
Cod. postale,00020
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058094
Cod. catastale,H745
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 114 GG[3]"
Nome abitanti,sambuciani
Patrono,san Celso
Giorno festivo,30 ottobre
Cartografia,Cartografia
Sambuci,Sambuci
Sambuci – MappaPosizione del comune di Sambuci nella città metropolitana di Roma Capitale,Sambuci – MappaPosizione del comune di Sambuci nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
