Palestrina comune,Palestrina comune.1
,
Palestrina – VedutaVista panoramica di Palestrina da Palazzo Colonna Barberini,Palestrina – VedutaVista panoramica di Palestrina da Palazzo Colonna Barberini
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Igino Macchi (PD - liste civiche) dal 26-06-2024
Territorio,Territorio
Coordinate,41°50′N 12°54′E
Altitudine,450 m s.l.m.
Superficie,"47,02 km²"
Abitanti,22 096[1] (30-11-2025)
Densità,"469,93 ab./km²"
Frazioni,"Carchitti, Valvarino"
Comuni confinanti,"Artena, Castel San Pietro Romano, Cave, Gallicano nel Lazio, Labico, Rocca di Cave, Rocca Priora, Roma, San Cesareo, Valmontone, Zagarolo"
Altre informazioni,Altre informazioni
Cod. postale,"00036 (Capoluogo, Valvarino, Carchitti)"
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058074
Cod. catastale,G274
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 141 GG[3]"
Nome abitanti,"prenestini, palestrinesi"
Patrono,"sant'Agapito martire, santa Rosalia"
Giorno festivo,18 agosto - 4 settembre
Cartografia,Cartografia
Palestrina,Palestrina
Palestrina – MappaPosizione del comune di Palestrina nella città metropolitana di Roma Capitale,Palestrina – MappaPosizione del comune di Palestrina nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
