Olevano Romano comune,Olevano Romano comune.1
,
Olevano Romano – VedutaVista panoramica,Olevano Romano – VedutaVista panoramica
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Umberto Quaresima (Bene in comune) dal 5-6-2016
Territorio,Territorio
Coordinate,41°51′38″N 13°01′55″E
Altitudine,571 m s.l.m.
Superficie,"26,16 km²"
Abitanti,6 303[1] (30-11-2025)
Densità,"240,94 ab./km²"
Comuni confinanti,"Bellegra, Genazzano, Paliano (FR), Roiate, San Vito Romano, Serrone (FR)"
Altre informazioni,Altre informazioni
Cod. postale,00035
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058073
Cod. catastale,G022
Targa,ROMA e RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 344 GG[3]"
Nome abitanti,olevanesi
Patrono,santa Margherita e san Placido
Giorno festivo,20 luglio e 5 ottobre
Cartografia,Cartografia
Olevano Romano,Olevano Romano
Olevano Romano – MappaPosizione del comune di Olevano Romano nella città metropolitana di Roma Capitale,Olevano Romano – MappaPosizione del comune di Olevano Romano nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
