Genzano di Roma comune,Genzano di Roma comune.1
,
Genzano di Roma – Veduta,Genzano di Roma – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Carlo Zoccolotti (centro-sinistra) dal 5-10-2020
Territorio,Territorio
Coordinate,41°42′08″N 12°41′33″E
Altitudine,435 m s.l.m.
Superficie,"17,9 km²"
Abitanti,22 346[1] (30-11-2025)
Densità,"1 248,38 ab./km²"
Frazioni,Landi
Comuni confinanti,"Ariccia, Lanuvio, Nemi, Velletri"
Altre informazioni,Altre informazioni
Cod. postale,00045
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058043
Cod. catastale,D972
Targa,ROMA e RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 982 GG[3]"
Nome abitanti,genzanesi
Patrono,san Tommaso da Villanova
Giorno festivo,18 settembre
Cartografia,Cartografia
Genzano di Roma,Genzano di Roma
Genzano di Roma – MappaPosizione del comune di Genzano di Roma nella città metropolitana di Roma Capitale,Genzano di Roma – MappaPosizione del comune di Genzano di Roma nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
