Carpineto Romano comune,Carpineto Romano comune.1
,
Carpineto Romano – Veduta,Carpineto Romano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Stefano Cacciotti (lista civica Progetto Carpineto) dal 23-6-2019
Territorio,Territorio
Coordinate,41°36′N 13°05′E
Altitudine,550 m s.l.m.
Superficie,"86,29 km²"
Abitanti,3 912[1] (30-11-2025)
Densità,"45,34 ab./km²"
Comuni confinanti,"Bassiano (LT), Gorga, Maenza (LT), Montelanico, Norma (LT), Roccagorga (LT), Sezze (LT), Supino (FR)"
Altre informazioni,Altre informazioni
Cod. postale,00032
Prefisso,06-97
Fuso orario,UTC+1
Codice ISTAT,058020
Cod. catastale,B828
Targa,RM
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona D, 2 063 GG[3]"
Nome abitanti,"carpinetani, in dialetto: carpenetani"
Patrono,sant'Agostino
Giorno festivo,28 agosto
PIL procapite,"(nominale) 13.352,36 Euro"
Cartografia,Cartografia
Carpineto Romano,Carpineto Romano
Carpineto Romano – MappaPosizione del comune di Carpineto Romano nella città metropolitana di Roma Capitale,Carpineto Romano – MappaPosizione del comune di Carpineto Romano nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
