Colonna comune,Colonna comune.1
,
Colonna – Veduta,Colonna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,"Fausto Giuliani (Lista Civica ""Ora Colonna"") dal 26-5-2019"
Territorio,Territorio
Coordinate,41°50′N 12°45′E
Altitudine,393 m s.l.m.
Superficie,"3,55 km²"
Abitanti,4 230[1] (30-11-2025)
Densità,"1 191,55 ab./km²"
Comuni confinanti,"Monte Compatri, Roma, San Cesareo"
Altre informazioni,Altre informazioni
Cod. postale,00030
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058035
Cod. catastale,C900
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 832 GG[3]"
Nome abitanti,colonnesi
Patrono,san Nicola di Bari
Cartografia,Cartografia
Colonna,Colonna
Colonna – MappaPosizione del comune di Colonna nella città metropolitana di Roma Capitale,Colonna – MappaPosizione del comune di Colonna nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
