Cerreto Laziale comune,Cerreto Laziale comune.1
(dettagli)  (dettagli),(dettagli)  (dettagli)
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Gina Panci (lista civica Uniti per Cerreto) dal 10-6-2018
Territorio,Territorio
Coordinate,41°56′42″N 12°58′58″E
Altitudine,520 m s.l.m.
Superficie,"12,08 km²"
Abitanti,1 076[1] (30-11-2025)
Densità,"89,07 ab./km²"
Comuni confinanti,"Ciciliano, Gerano, Pisoniano, Rocca Canterano, Sambuci, Saracinesco"
Altre informazioni,Altre informazioni
Cod. postale,00020
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058027
Cod. catastale,C518
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 224 GG[3]"
Nome abitanti,cerretani
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Cerreto Laziale,Cerreto Laziale
Cerreto Laziale – MappaPosizione del comune di Cerreto Laziale nella città metropolitana di Roma Capitale,Cerreto Laziale – MappaPosizione del comune di Cerreto Laziale nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
