Civitella San Paolo comune,Civitella San Paolo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Giuseppe Cappetta (lista civica Uniti per Civitella San Paolo) dal 4-10-2021
Territorio,Territorio
Coordinate,42°11′45″N 12°34′56″E
Altitudine,195 m s.l.m.
Superficie,"20,75 km²"
Abitanti,2 046[1] (30-11-2025)
Densità,"98,6 ab./km²"
Frazioni,"Santa Lucia, Monte Lino"
Comuni confinanti,"Capena, Fiano Romano, Nazzano, Ponzano Romano, Rignano Flaminio, Sant'Oreste"
Altre informazioni,Altre informazioni
Cod. postale,00060
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,058033
Cod. catastale,C784
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 811 GG[3]"
Nome abitanti,civitellesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Civitella San Paolo,Civitella San Paolo
Civitella San Paolo – MappaPosizione del comune di Civitella San Paolo nella città metropolitana di Roma Capitale,Civitella San Paolo – MappaPosizione del comune di Civitella San Paolo nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
